Potential applied (V),WE(1).Base.Potential (V),WE(1).Base.Current (A),WE(1).Pulse.Current (A),WE(1).δ.Current (A)
-0.099945068359375,-0.099700927734375,-4.36737060546875E-06,3.60321044921875E-05,4.03994750976563E-05
-0.09490966796875,-0.094696044921875,-2.91534423828125E-06,3.70147705078125E-05,3.99301147460938E-05
-0.089874267578125,-0.089630126953125,-1.88018798828125E-06,3.7579345703125E-05,3.94595336914063E-05
-0.0848388671875,-0.084564208984375,-1.102294921875E-06,3.787841796875E-05,3.8980712890625E-05
-0.079803466796875,-0.079620361328125,-4.93774414062501E-07,3.80279541015625E-05,3.8521728515625E-05
-0.07476806640625,-0.074554443359375,6.40869140624972E-09,3.80615234375E-05,3.80551147460938E-05
-0.069732666015625,-0.069549560546875,4.2144775390625E-07,3.80157470703125E-05,3.75942993164062E-05
-0.064697265625,-0.064544677734375,7.6263427734375E-07,3.79730224609375E-05,3.72103881835937E-05
-0.059661865234375,-0.059478759765625,1.06292724609375E-06,3.79302978515625E-05,3.68673706054688E-05
-0.05462646484375,-0.054473876953125,1.322021484375E-06,3.79180908203125E-05,3.65960693359375E-05
-0.049591064453125,-0.049468994140625,1.55517578125E-06,3.79241943359375E-05,3.63690185546875E-05
-0.0445556640625,-0.0444122314453125,1.75567626953125E-06,3.80126953125E-05,3.62570190429687E-05
-0.039520263671875,-0.0393798828125,1.9488525390625E-06,3.814697265625E-05,3.61981201171875E-05
-0.03448486328125,-0.0343536376953125,2.120361328125E-06,3.8372802734375E-05,3.625244140625E-05
-0.029449462890625,-0.0293121337890625,2.2967529296875E-06,3.86962890625E-05,3.63995361328125E-05
-0.0244140625,-0.024261474609375,2.470703125E-06,3.9141845703125E-05,3.6671142578125E-05
-0.019378662109375,-0.0192535400390625,2.64556884765625E-06,3.97247314453125E-05,3.70791625976563E-05
-0.01434326171875,-0.014202880859375,2.84210205078125E-06,4.0423583984375E-05,3.75814819335938E-05
-0.009307861328125,-0.00917968750000001,3.05877685546875E-06,4.127197265625E-05,3.82131958007813E-05
-0.0042724609375,-0.00414123535156249,3.3148193359375E-06,4.22271728515625E-05,3.8912353515625E-05
0.000762939453125,0.000909423828125006,3.6187744140625E-06,4.3310546875E-05,3.96917724609375E-05
0.00579833984375,0.0059539794921875,3.9801025390625E-06,4.443359375E-05,4.04534912109375E-05
0.010833740234375,0.010980224609375,4.39208984375E-06,4.559326171875E-05,4.1201171875E-05
0.015869140625,0.016033935546875,4.8614501953125E-06,4.669189453125E-05,4.18304443359375E-05
0.020904541015625,0.021063232421875,5.3955078125E-06,4.7698974609375E-05,4.2303466796875E-05
0.02593994140625,0.02608642578125,5.9844970703125E-06,4.8492431640625E-05,4.25079345703125E-05
0.030975341796875,0.031121826171875,6.5887451171875E-06,4.9041748046875E-05,4.24530029296875E-05
0.0360107421875,0.036163330078125,7.1990966796875E-06,4.9285888671875E-05,4.20867919921875E-05
0.041046142578125,0.0411865234375,7.77587890625E-06,4.9285888671875E-05,4.1510009765625E-05
0.04608154296875,0.046240234375,8.3099365234375E-06,4.9041748046875E-05,4.07318115234375E-05
0.051116943359375,0.051116943359375,8.7799072265625E-06,4.8614501953125E-05,3.98345947265625E-05
0.05615234375,0.056121826171875,9.1705322265625E-06,4.8095703125E-05,3.89251708984375E-05
0.061187744140625,0.061187744140625,9.4879150390625E-06,4.7576904296875E-05,3.80889892578125E-05
0.06622314453125,0.06622314453125,9.735107421875E-06,4.705810546875E-05,3.7322998046875E-05
0.071258544921875,0.071258544921875,9.918212890625E-06,4.6661376953125E-05,3.67431640625E-05
0.0762939453125,0.076263427734375,1.00555419921875E-05,4.6417236328125E-05,3.63616943359375E-05
0.081329345703125,0.08135986328125,1.01531982421875E-05,4.638671875E-05,3.62335205078125E-05
0.08636474609375,0.086334228515625,1.0235595703125E-05,4.656982421875E-05,3.6334228515625E-05
0.091400146484375,0.09136962890625,1.03057861328125E-05,4.69970703125E-05,3.66912841796875E-05
0.096435546875,0.096343994140625,1.03851318359375E-05,4.7698974609375E-05,3.73138427734375E-05
0.101470947265625,0.101409912109375,1.0491943359375E-05,4.87060546875E-05,3.8214111328125E-05
0.10650634765625,0.106536865234375,1.06475830078125E-05,4.9957275390625E-05,3.93096923828125E-05
0.111541748046875,0.111419677734375,1.08642578125E-05,5.145263671875E-05,4.058837890625E-05
0.1165771484375,0.116455078125,1.11663818359375E-05,5.3070068359375E-05,4.19036865234375E-05
0.121612548828125,0.12152099609375,1.15447998046875E-05,5.4779052734375E-05,4.32342529296875E-05
0.12664794921875,0.12652587890625,1.20147705078125E-05,5.645751953125E-05,4.44427490234375E-05
0.131683349609375,0.13153076171875,1.25579833984375E-05,5.7952880859375E-05,4.53948974609375E-05
0.13671875,0.136566162109375,1.31439208984375E-05,5.9173583984375E-05,4.60296630859375E-05
0.141754150390625,0.1416015625,1.37603759765625E-05,6.0028076171875E-05,4.62677001953125E-05
0.14678955078125,0.146636962890625,1.43463134765625E-05,6.048583984375E-05,4.61395263671875E-05
0.151824951171875,0.15167236328125,1.4886474609375E-05,6.0516357421875E-05,4.56298828125E-05
0.1568603515625,0.15673828125,1.53411865234375E-05,6.01806640625E-05,4.48394775390625E-05
0.161895751953125,0.1617431640625,1.57135009765625E-05,5.950927734375E-05,4.37957763671875E-05
0.16693115234375,0.16680908203125,1.5985107421875E-05,5.8624267578125E-05,4.263916015625E-05
0.171966552734375,0.1717529296875,1.61773681640625E-05,5.7525634765625E-05,4.13482666015625E-05
0.177001953125,0.176849365234375,1.62689208984375E-05,5.6365966796875E-05,4.00970458984375E-05
0.182037353515625,0.181854248046875,1.629638671875E-05,5.511474609375E-05,3.8818359375E-05
0.18707275390625,0.186859130859375,1.6253662109375E-05,5.3924560546875E-05,3.76708984375E-05
0.192108154296875,0.19189453125,1.6162109375E-05,5.2734375E-05,3.6572265625E-05
0.1971435546875,0.1968994140625,1.60308837890625E-05,5.1666259765625E-05,3.56353759765625E-05
0.202178955078125,0.201934814453125,1.58660888671875E-05,5.0628662109375E-05,3.47625732421875E-05
0.20721435546875,0.20697021484375,1.5673828125E-05,4.974365234375E-05,3.406982421875E-05
0.212249755859375,0.2120361328125,1.5472412109375E-05,4.8919677734375E-05,3.3447265625E-05
0.21728515625,0.21710205078125,1.52557373046875E-05,4.8187255859375E-05,3.29315185546875E-05
0.222320556640625,0.222137451171875,1.5045166015625E-05,4.754638671875E-05,3.2501220703125E-05
0.22735595703125,0.227203369140625,1.483154296875E-05,4.6966552734375E-05,3.2135009765625E-05
0.232391357421875,0.232208251953125,1.4630126953125E-05,4.644775390625E-05,3.1817626953125E-05
0.2374267578125,0.237213134765625,1.44439697265625E-05,4.595947265625E-05,3.15155029296875E-05
0.242462158203125,0.242218017578125,1.42608642578125E-05,4.55322265625E-05,3.12713623046875E-05
0.24749755859375,0.247283935546875,1.40838623046875E-05,4.5135498046875E-05,3.10516357421875E-05
0.252532958984375,0.2523193359375,1.3922119140625E-05,4.47967529296875E-05,3.08746337890625E-05
0.257568359375,0.25732421875,1.37664794921875E-05,4.4488525390625E-05,3.07220458984375E-05
0.262603759765625,0.26239013671875,1.36260986328125E-05,4.4189453125E-05,3.05633544921875E-05
0.26763916015625,0.267333984375,1.34857177734375E-05,4.3927001953125E-05,3.04412841796875E-05
0.272674560546875,0.2724609375,1.33544921875E-05,4.3695068359375E-05,3.0340576171875E-05
0.2777099609375,0.277496337890625,1.32415771484375E-05,4.35028076171875E-05,3.026123046875E-05
0.282745361328125,0.282470703125,1.312255859375E-05,4.33074951171875E-05,3.01849365234375E-05
0.28778076171875,0.287506103515625,1.30157470703125E-05,4.31854248046875E-05,3.0169677734375E-05
0.292816162109375,0.292510986328125,1.29150390625E-05,4.30633544921875E-05,3.01483154296875E-05
0.2978515625,0.297607421875,1.2823486328125E-05,4.29534912109375E-05,3.01300048828125E-05
0.302886962890625,0.3026123046875,1.27349853515625E-05,4.287109375E-05,3.01361083984375E-05
0.30792236328125,0.307647705078125,1.26617431640625E-05,4.28009033203125E-05,3.013916015625E-05
0.312957763671875,0.31268310546875,1.2603759765625E-05,4.2730712890625E-05,3.0126953125E-05
0.3179931640625,0.317718505859375,1.25335693359375E-05,4.27001953125E-05,3.01666259765625E-05
0.323028564453125,0.32275390625,1.24786376953125E-05,4.26849365234375E-05,3.0206298828125E-05
0.32806396484375,0.327728271484375,1.24237060546875E-05,4.267578125E-05,3.02520751953125E-05
0.333099365234375,0.332763671875,1.23748779296875E-05,4.27215576171875E-05,3.03466796875E-05
0.338134765625,0.33782958984375,1.234130859375E-05,4.276123046875E-05,3.0419921875E-05
0.343170166015625,0.342803955078125,1.23077392578125E-05,4.28253173828125E-05,3.0517578125E-05
0.34820556640625,0.347900390625,1.22833251953125E-05,4.28955078125E-05,3.06121826171875E-05
0.353240966796875,0.352874755859375,1.2255859375E-05,4.2999267578125E-05,3.0743408203125E-05
0.3582763671875,0.35791015625,1.22528076171875E-05,4.31060791015625E-05,3.0853271484375E-05
0.363311767578125,0.36297607421875,1.224365234375E-05,4.3243408203125E-05,3.0999755859375E-05
0.36834716796875,0.36798095703125,1.22467041015625E-05,4.33929443359375E-05,3.1146240234375E-05
0.373382568359375,0.373016357421875,1.2255859375E-05,4.35791015625E-05,3.13232421875E-05
0.37841796875,0.3780517578125,1.22802734375E-05,4.37652587890625E-05,3.14849853515625E-05
0.383453369140625,0.383087158203125,1.23046875E-05,4.39727783203125E-05,3.16680908203125E-05
