Potential applied (V),WE(1).Base.Potential (V),WE(1).Base.Current (A),WE(1).Pulse.Current (A),WE(1).δ.Current (A)
-0.099945068359375,-0.09967041015625,-6.2286376953125E-06,3.12408447265625E-05,3.7469482421875E-05
-0.09490966796875,-0.0947265625,-4.6533203125E-06,3.24554443359375E-05,3.71087646484375E-05
-0.089874267578125,-0.089691162109375,-3.48297119140625E-06,3.32305908203125E-05,3.67135620117188E-05
-0.0848388671875,-0.084625244140625,-2.59674072265625E-06,3.37646484375E-05,3.63613891601563E-05
-0.079803466796875,-0.079559326171875,-1.87347412109375E-06,3.41278076171875E-05,3.60012817382813E-05
-0.07476806640625,-0.07452392578125,-1.27227783203125E-06,3.43719482421875E-05,3.56442260742188E-05
-0.069732666015625,-0.06951904296875,-7.7850341796875E-07,3.450927734375E-05,3.52877807617187E-05
-0.064697265625,-0.064483642578125,-3.5675048828125E-07,3.463134765625E-05,3.49880981445313E-05
-0.059661865234375,-0.05950927734375,1.28173828124994E-08,3.47259521484375E-05,3.4713134765625E-05
-0.05462646484375,-0.054473876953125,3.3233642578125E-07,3.48236083984375E-05,3.44912719726562E-05
-0.049591064453125,-0.0494537353515625,6.12792968750001E-07,3.4912109375E-05,3.429931640625E-05
-0.0445556640625,-0.0444244384765625,8.612060546875E-07,3.502197265625E-05,3.41607666015625E-05
-0.039520263671875,-0.0393798828125,1.08245849609375E-06,3.515625E-05,3.40737915039063E-05
-0.03448486328125,-0.0343597412109375,1.2872314453125E-06,3.53179931640625E-05,3.403076171875E-05
-0.029449462890625,-0.029302978515625,1.4825439453125E-06,3.5546875E-05,3.40643310546875E-05
-0.0244140625,-0.0242767333984375,1.65191650390625E-06,3.58184814453125E-05,3.41665649414062E-05
-0.019378662109375,-0.0192535400390625,1.8212890625E-06,3.6181640625E-05,3.43603515625E-05
-0.01434326171875,-0.014208984375,1.9879150390625E-06,3.65966796875E-05,3.46087646484375E-05
-0.009307861328125,-0.00917663574218749,2.16552734375E-06,3.7091064453125E-05,3.4925537109375E-05
-0.0042724609375,-0.00412902832031251,2.3516845703125E-06,3.7628173828125E-05,3.52764892578125E-05
0.000762939453125,0.000881958007812503,2.5567626953125E-06,3.82232666015625E-05,3.566650390625E-05
0.00579833984375,0.0059661865234375,2.7789306640625E-06,3.88275146484375E-05,3.6048583984375E-05
0.010833740234375,0.0109771728515625,3.04443359375E-06,3.94317626953125E-05,3.63873291015625E-05
0.015869140625,0.0160308837890625,3.32916259765625E-06,3.9959716796875E-05,3.66305541992188E-05
0.020904541015625,0.0210693359375,3.6431884765625E-06,4.03961181640625E-05,3.67529296875E-05
0.02593994140625,0.02611083984375,3.983154296875E-06,4.0655517578125E-05,3.667236328125E-05
0.030975341796875,0.031109619140625,4.32586669921875E-06,4.07562255859375E-05,3.64303588867188E-05
0.0360107421875,0.0361602783203125,4.65972900390625E-06,4.0631103515625E-05,3.59713745117188E-05
0.041046142578125,0.0412078857421875,4.9591064453125E-06,4.03411865234375E-05,3.5382080078125E-05
0.04608154296875,0.04625244140625,5.2276611328125E-06,3.9898681640625E-05,3.46710205078125E-05
0.051116943359375,0.051239013671875,5.450439453125E-06,3.93798828125E-05,3.3929443359375E-05
0.05615234375,0.056182861328125,5.6243896484375E-06,3.8848876953125E-05,3.32244873046875E-05
0.061187744140625,0.061248779296875,5.74951171875E-06,3.834228515625E-05,3.25927734375E-05
0.06622314453125,0.06622314453125,5.8349609375E-06,3.78997802734375E-05,3.20648193359375E-05
0.071258544921875,0.071258544921875,5.8807373046875E-06,3.75640869140625E-05,3.1683349609375E-05
0.0762939453125,0.076385498046875,5.9051513671875E-06,3.734130859375E-05,3.14361572265625E-05
0.081329345703125,0.081329345703125,5.9234619140625E-06,3.7249755859375E-05,3.13262939453125E-05
0.08636474609375,0.086334228515625,5.9356689453125E-06,3.73016357421875E-05,3.1365966796875E-05
0.091400146484375,0.091461181640625,5.9417724609375E-06,3.7518310546875E-05,3.15765380859375E-05
0.096435546875,0.09637451171875,5.96923828125E-06,3.7884521484375E-05,3.1915283203125E-05
