Potential applied (V),WE(1).Base.Potential (V),WE(1).Base.Current (A),WE(1).Pulse.Current (A),WE(1).δ.Current (A)
-0.099945068359375,-0.0997314453125,-3.5455322265625E-06,3.5113525390625E-05,3.86590576171875E-05
-0.09490966796875,-0.0947265625,-2.22564697265625E-06,3.6004638671875E-05,3.82302856445312E-05
-0.089874267578125,-0.08966064453125,-1.287841796875E-06,3.64776611328125E-05,3.77655029296875E-05
-0.0848388671875,-0.084625244140625,-6.04248046875E-07,3.671875E-05,3.7322998046875E-05
-0.079803466796875,-0.07958984375,-6.04248046875006E-08,3.68133544921875E-05,3.6873779296875E-05
-0.07476806640625,-0.0745849609375,3.75976562499999E-07,3.67889404296875E-05,3.64129638671875E-05
-0.069732666015625,-0.069580078125,7.3883056640625E-07,3.6688232421875E-05,3.59494018554688E-05
-0.064697265625,-0.064544677734375,1.043701171875E-06,3.65814208984375E-05,3.55377197265625E-05
-0.059661865234375,-0.0594482421875,1.29974365234375E-06,3.6456298828125E-05,3.51565551757813E-05
-0.05462646484375,-0.054473876953125,1.533203125E-06,3.634033203125E-05,3.480712890625E-05
-0.049591064453125,-0.04945068359375,1.72943115234375E-06,3.6236572265625E-05,3.45071411132813E-05
-0.0445556640625,-0.0444183349609375,1.9000244140625E-06,3.61846923828125E-05,3.428466796875E-05
-0.039520263671875,-0.03939208984375,2.05780029296875E-06,3.61602783203125E-05,3.41024780273437E-05
-0.03448486328125,-0.034356689453125,2.2076416015625E-06,3.62030029296875E-05,3.3995361328125E-05
-0.029449462890625,-0.02930908203125,2.34588623046875E-06,3.6322021484375E-05,3.39761352539063E-05
-0.0244140625,-0.0242889404296875,2.4761962890625E-06,3.653564453125E-05,3.40594482421875E-05
-0.019378662109375,-0.01925048828125,2.6123046875E-06,3.6871337890625E-05,3.4259033203125E-05
-0.01434326171875,-0.0142120361328125,2.752685546875E-06,3.73016357421875E-05,3.45489501953125E-05
-0.009307861328125,-0.00917663574218749,2.90985107421875E-06,3.78692626953125E-05,3.49594116210938E-05
-0.0042724609375,-0.00413818359375,3.08319091796875E-06,3.85528564453125E-05,3.54696655273438E-05
0.000762939453125,0.000921630859374994,3.29376220703125E-06,3.93524169921875E-05,3.60586547851563E-05
0.00579833984375,0.005938720703125,3.5382080078125E-06,4.02099609375E-05,3.66717529296875E-05
0.010833740234375,0.01097412109375,3.82537841796875E-06,4.112548828125E-05,3.73001098632813E-05
0.015869140625,0.0160247802734375,4.15283203125E-06,4.19921875E-05,3.783935546875E-05
