Potential applied (V),WE(1).Base.Potential (V),WE(1).Base.Current (A),WE(1).Pulse.Current (A),WE(1).δ.Current (A)
-0.099945068359375,-0.099761962890625,-5.4718017578125E-06,3.65936279296875E-05,4.20654296875E-05
-0.09490966796875,-0.09466552734375,-3.8592529296875E-06,3.77410888671875E-05,4.1600341796875E-05
-0.089874267578125,-0.089630126953125,-2.694091796875E-06,3.841552734375E-05,4.1109619140625E-05
-0.0848388671875,-0.084625244140625,-1.81243896484375E-06,3.8836669921875E-05,4.06491088867188E-05
-0.079803466796875,-0.079620361328125,-1.11907958984375E-06,3.9080810546875E-05,4.01998901367187E-05
-0.07476806640625,-0.074554443359375,-5.450439453125E-07,3.9227294921875E-05,3.97723388671875E-05
-0.069732666015625,-0.069549560546875,-6.98852539062503E-08,3.929443359375E-05,3.93643188476562E-05
-0.064697265625,-0.064422607421875,3.28369140625E-07,3.93707275390625E-05,3.90423583984375E-05
-0.059661865234375,-0.05950927734375,6.756591796875E-07,3.946533203125E-05,3.87896728515625E-05
-0.05462646484375,-0.05450439453125,9.8297119140625E-07,3.96026611328125E-05,3.86196899414063E-05
-0.049591064453125,-0.0494537353515625,1.256103515625E-06,3.978271484375E-05,3.8526611328125E-05
-0.0445556640625,-0.04443359375,1.49139404296875E-06,4.0057373046875E-05,3.85659790039063E-05
-0.039520263671875,-0.0393951416015625,1.72027587890625E-06,4.0399169921875E-05,3.86788940429688E-05
-0.03448486328125,-0.0343536376953125,1.94061279296875E-06,4.08477783203125E-05,3.89071655273438E-05
-0.029449462890625,-0.029327392578125,2.1527099609375E-06,4.140625E-05,3.92535400390625E-05
-0.0244140625,-0.0242706298828125,2.37518310546875E-06,4.2095947265625E-05,3.97207641601562E-05
-0.019378662109375,-0.0192535400390625,2.6080322265625E-06,4.29290771484375E-05,4.0321044921875E-05
-0.01434326171875,-0.014227294921875,2.862548828125E-06,4.3853759765625E-05,4.09912109375E-05
-0.009307861328125,-0.0091705322265625,3.15704345703125E-06,4.4952392578125E-05,4.17953491210938E-05
-0.0042724609375,-0.00415649414062499,3.4942626953125E-06,4.6142578125E-05,4.26483154296875E-05
0.000762939453125,0.000912475585937503,3.89801025390625E-06,4.7454833984375E-05,4.35568237304688E-05
0.00579833984375,0.005938720703125,4.37042236328125E-06,4.8797607421875E-05,4.44271850585937E-05
0.010833740234375,0.01097412109375,4.9102783203125E-06,5.0140380859375E-05,4.52301025390625E-05
0.015869140625,0.016021728515625,5.52978515625E-06,5.13916015625E-05,4.586181640625E-05
0.020904541015625,0.021063232421875,6.2225341796875E-06,5.2520751953125E-05,4.62982177734375E-05
0.02593994140625,0.026092529296875,6.97021484375E-06,5.3466796875E-05,4.649658203125E-05
0.030975341796875,0.031134033203125,7.7423095703125E-06,5.4107666015625E-05,4.63653564453125E-05
0.0360107421875,0.03616943359375,8.5205078125E-06,5.4443359375E-05,4.59228515625E-05
0.041046142578125,0.0411895751953125,9.26513671875E-06,5.450439453125E-05,4.52392578125E-05
0.04608154296875,0.0462310791015625,9.9578857421875E-06,5.4290771484375E-05,4.43328857421875E-05
0.051116943359375,0.051116943359375,1.05712890625E-05,5.389404296875E-05,4.332275390625E-05
0.05615234375,0.05609130859375,1.109619140625E-05,5.33447265625E-05,4.224853515625E-05
0.061187744140625,0.0611572265625,1.15325927734375E-05,5.279541015625E-05,4.12628173828125E-05
0.06622314453125,0.066162109375,1.1883544921875E-05,5.224609375E-05,4.0362548828125E-05
0.071258544921875,0.07122802734375,1.2158203125E-05,5.1849365234375E-05,3.9691162109375E-05
0.0762939453125,0.07623291015625,1.23779296875E-05,5.1605224609375E-05,3.9227294921875E-05
0.081329345703125,0.08123779296875,1.2542724609375E-05,5.1605224609375E-05,3.90625E-05
0.08636474609375,0.086334228515625,1.268310546875E-05,5.18798828125E-05,3.919677734375E-05
0.091400146484375,0.09130859375,1.280517578125E-05,5.242919921875E-05,3.96240234375E-05
0.096435546875,0.096343994140625,1.292724609375E-05,5.328369140625E-05,4.03564453125E-05
0.101470947265625,0.10137939453125,1.30859375E-05,5.450439453125E-05,4.141845703125E-05
0.10650634765625,0.1064453125,1.3299560546875E-05,5.5999755859375E-05,4.27001953125E-05
0.111541748046875,0.111480712890625,1.3580322265625E-05,5.77392578125E-05,4.4158935546875E-05
0.1165771484375,0.116455078125,1.39617919921875E-05,5.9661865234375E-05,4.57000732421875E-05
0.121612548828125,0.12152099609375,1.44256591796875E-05,6.1676025390625E-05,4.72503662109375E-05
