Potential applied (V),WE(1).Base.Potential (V),WE(1).Base.Current (A),WE(1).Pulse.Current (A),WE(1).δ.Current (A)
-0.099945068359375,-0.0997314453125,-7.427978515625E-06,2.733154296875E-05,3.4759521484375E-05
-0.09490966796875,-0.094696044921875,-5.7952880859375E-06,2.86651611328125E-05,3.446044921875E-05
-0.089874267578125,-0.089599609375,-4.57366943359375E-06,2.958984375E-05,3.41635131835937E-05
-0.0848388671875,-0.084625244140625,-3.62060546875E-06,3.026123046875E-05,3.38818359375E-05
-0.079803466796875,-0.079559326171875,-2.847900390625E-06,3.07647705078125E-05,3.36126708984375E-05
-0.07476806640625,-0.0745849609375,-2.19268798828125E-06,3.1146240234375E-05,3.33389282226562E-05
-0.069732666015625,-0.069549560546875,-1.64154052734375E-06,3.14117431640625E-05,3.30532836914063E-05
-0.064697265625,-0.064544677734375,-1.16943359375E-06,3.1646728515625E-05,3.2816162109375E-05
-0.059661865234375,-0.0594482421875,-7.598876953125E-07,3.18328857421875E-05,3.25927734375E-05
-0.05462646484375,-0.054443359375,-4.05273437500001E-07,3.19976806640625E-05,3.24029541015625E-05
-0.049591064453125,-0.0494598388671875,-8.75854492187494E-08,3.2110595703125E-05,3.21981811523437E-05
-0.0445556640625,-0.0444488525390625,1.934814453125E-07,3.2232666015625E-05,3.20391845703125E-05
-0.039520263671875,-0.039410400390625,4.40368652343751E-07,3.23486328125E-05,3.19082641601563E-05
-0.03448486328125,-0.0343536376953125,6.70776367187501E-07,3.245849609375E-05,3.17877197265625E-05
-0.029449462890625,-0.029315185546875,8.6700439453125E-07,3.25775146484375E-05,3.17105102539063E-05
-0.0244140625,-0.02427978515625,1.06414794921875E-06,3.27239990234375E-05,3.16598510742188E-05
-0.019378662109375,-0.0192657470703125,1.23046875E-06,3.29071044921875E-05,3.16766357421875E-05
-0.01434326171875,-0.0141998291015625,1.3970947265625E-06,3.31024169921875E-05,3.1705322265625E-05
-0.009307861328125,-0.00917663574218749,1.5570068359375E-06,3.33343505859375E-05,3.177734375E-05
-0.0042724609375,-0.0041168212890625,1.70806884765625E-06,3.358154296875E-05,3.18734741210937E-05
0.000762939453125,0.000888061523437497,1.86981201171875E-06,3.38623046875E-05,3.19924926757813E-05
0.00579833984375,0.00594482421875001,2.034912109375E-06,3.4130859375E-05,3.2095947265625E-05
0.010833740234375,0.010980224609375,2.20184326171875E-06,3.43902587890625E-05,3.21884155273438E-05
0.015869140625,0.016046142578125,2.3773193359375E-06,3.4600830078125E-05,3.22235107421875E-05
0.020904541015625,0.0210479736328125,2.568359375E-06,3.47503662109375E-05,3.21820068359375E-05
0.02593994140625,0.026080322265625,2.7587890625E-06,3.47991943359375E-05,3.20404052734375E-05
0.030975341796875,0.031134033203125,2.952880859375E-06,3.47564697265625E-05,3.18035888671875E-05
0.0360107421875,0.036181640625,3.133544921875E-06,3.45733642578125E-05,3.14398193359375E-05
0.041046142578125,0.04119873046875,3.29803466796875E-06,3.4326171875E-05,3.10281372070313E-05
0.04608154296875,0.0462493896484375,3.4393310546875E-06,3.3984375E-05,3.05450439453125E-05
0.051116943359375,0.05120849609375,3.55194091796875E-06,3.363037109375E-05,3.00784301757813E-05
0.05615234375,0.056182861328125,3.63861083984375E-06,3.32855224609375E-05,2.96469116210937E-05
0.061187744140625,0.06121826171875,3.69598388671875E-06,3.2958984375E-05,2.92630004882813E-05
0.06622314453125,0.066253662109375,3.73565673828125E-06,3.26751708984375E-05,2.89395141601562E-05
0.071258544921875,0.0712890625,3.76495361328125E-06,3.2464599609375E-05,2.86996459960938E-05
0.0762939453125,0.076324462890625,3.7811279296875E-06,3.23028564453125E-05,2.8521728515625E-05
0.081329345703125,0.081329345703125,3.79241943359375E-06,3.22113037109375E-05,2.84188842773438E-05
0.08636474609375,0.086334228515625,3.8092041015625E-06,3.21868896484375E-05,2.8377685546875E-05
0.091400146484375,0.0914306640625,3.8177490234375E-06,3.22509765625E-05,2.84332275390625E-05
0.096435546875,0.096435546875,3.84490966796875E-06,3.2379150390625E-05,2.85342407226563E-05
0.101470947265625,0.101409912109375,3.8824462890625E-06,3.2598876953125E-05,2.87164306640625E-05
0.10650634765625,0.10650634765625,3.9263916015625E-06,3.28765869140625E-05,2.89501953125E-05
0.111541748046875,0.111480712890625,3.9892578125E-06,3.3221435546875E-05,2.9232177734375E-05
0.1165771484375,0.11651611328125,4.0716552734375E-06,3.359375E-05,2.95220947265625E-05
0.121612548828125,0.121551513671875,4.17724609375E-06,3.3978271484375E-05,2.9801025390625E-05
0.12664794921875,0.1265869140625,4.30023193359375E-06,3.433837890625E-05,3.00381469726562E-05
0.131683349609375,0.131683349609375,4.442138671875E-06,3.46221923828125E-05,3.01800537109375E-05
0.13671875,0.136627197265625,4.58984375E-06,3.48236083984375E-05,3.02337646484375E-05
0.141754150390625,0.141693115234375,4.7271728515625E-06,3.48907470703125E-05,3.016357421875E-05
0.14678955078125,0.14666748046875,4.8583984375E-06,3.485107421875E-05,2.999267578125E-05
