Potential applied (V),WE(1).Base.Potential (V),WE(1).Base.Current (A),WE(1).Pulse.Current (A),WE(1).δ.Current (A)
-0.099945068359375,-0.099700927734375,-5.096435546875E-06,3.77471923828125E-05,4.28436279296875E-05
-0.09490966796875,-0.09466552734375,-3.50128173828125E-06,3.8861083984375E-05,4.23623657226563E-05
-0.089874267578125,-0.089630126953125,-2.352294921875E-06,3.9508056640625E-05,4.18603515625E-05
-0.0848388671875,-0.08465576171875,-1.48712158203125E-06,3.99017333984375E-05,4.13888549804688E-05
-0.079803466796875,-0.07958984375,-8.0841064453125E-07,4.01153564453125E-05,4.09237670898437E-05
-0.07476806640625,-0.074554443359375,-2.52685546875001E-07,4.0234375E-05,4.0487060546875E-05
-0.069732666015625,-0.06951904296875,2.14538574218751E-07,4.02740478515625E-05,4.00595092773438E-05
-0.064697265625,-0.06451416015625,6.0272216796875E-07,4.03350830078125E-05,3.97323608398438E-05
-0.059661865234375,-0.05950927734375,9.36279296875001E-07,4.0411376953125E-05,3.947509765625E-05
-0.05462646484375,-0.05450439453125,1.2310791015625E-06,4.0545654296875E-05,3.93145751953125E-05
-0.049591064453125,-0.049456787109375,1.4959716796875E-06,4.0728759765625E-05,3.92327880859375E-05
-0.0445556640625,-0.0444305419921875,1.74072265625E-06,4.09912109375E-05,3.925048828125E-05
-0.039520263671875,-0.039398193359375,1.96075439453125E-06,4.13482666015625E-05,3.93875122070313E-05
-0.03448486328125,-0.0343536376953125,2.17193603515625E-06,4.1802978515625E-05,3.96310424804688E-05
-0.029449462890625,-0.0292938232421875,2.38922119140625E-06,4.23675537109375E-05,3.99783325195313E-05
-0.0244140625,-0.02427978515625,2.61016845703125E-06,4.30694580078125E-05,4.04592895507812E-05
-0.019378662109375,-0.019256591796875,2.84637451171875E-06,4.388427734375E-05,4.10379028320313E-05
-0.01434326171875,-0.0142303466796875,3.1158447265625E-06,4.486083984375E-05,4.17449951171875E-05
-0.009307861328125,-0.0091705322265625,3.41583251953125E-06,4.5989990234375E-05,4.25741577148438E-05
-0.0042724609375,-0.004132080078125,3.77227783203125E-06,4.7210693359375E-05,4.34384155273438E-05
0.000762939453125,0.00091552734375,4.19189453125E-06,4.8553466796875E-05,4.4361572265625E-05
0.00579833984375,0.0059478759765625,4.6942138671875E-06,4.9957275390625E-05,4.52630615234375E-05
0.010833740234375,0.010986328125,5.26123046875E-06,5.1361083984375E-05,4.6099853515625E-05
0.015869140625,0.0160186767578125,5.9234619140625E-06,5.267333984375E-05,4.67498779296875E-05
0.020904541015625,0.021044921875,6.65283203125E-06,5.3924560546875E-05,4.7271728515625E-05
0.02593994140625,0.0260833740234375,7.4493408203125E-06,5.4931640625E-05,4.74822998046875E-05
