Potential applied (V),WE(1).Base.Potential (V),WE(1).Base.Current (A),WE(1).Pulse.Current (A),WE(1).δ.Current (A)
-0.099945068359375,-0.099700927734375,-4.207763671875E-06,3.2342529296875E-05,3.655029296875E-05
-0.09490966796875,-0.094757080078125,-2.88055419921875E-06,3.331298828125E-05,3.61935424804688E-05
-0.089874267578125,-0.089630126953125,-1.92596435546875E-06,3.38958740234375E-05,3.58218383789063E-05
-0.0848388671875,-0.0845947265625,-1.20758056640625E-06,3.42620849609375E-05,3.54696655273437E-05
-0.079803466796875,-0.07965087890625,-6.3507080078125E-07,3.447265625E-05,3.51077270507813E-05
-0.07476806640625,-0.0745849609375,-1.6326904296875E-07,3.4576416015625E-05,3.47396850585937E-05
-0.069732666015625,-0.069580078125,2.276611328125E-07,3.45855712890625E-05,3.435791015625E-05
-0.064697265625,-0.06451416015625,5.55419921875E-07,3.45855712890625E-05,3.40301513671875E-05
-0.059661865234375,-0.059478759765625,8.4259033203125E-07,3.45611572265625E-05,3.37185668945313E-05
-0.05462646484375,-0.054473876953125,1.09161376953125E-06,3.45367431640625E-05,3.34451293945313E-05
-0.049591064453125,-0.0494415283203125,1.3092041015625E-06,3.44970703125E-05,3.31878662109375E-05
-0.0445556640625,-0.044427490234375,1.49749755859375E-06,3.44818115234375E-05,3.29843139648438E-05
-0.039520263671875,-0.0393890380859375,1.671142578125E-06,3.447265625E-05,3.2801513671875E-05
-0.03448486328125,-0.0343505859375,1.826171875E-06,3.45001220703125E-05,3.26739501953125E-05
-0.029449462890625,-0.029327392578125,1.97357177734375E-06,3.45733642578125E-05,3.25997924804688E-05
-0.0244140625,-0.024285888671875,2.1075439453125E-06,3.47015380859375E-05,3.2593994140625E-05
-0.019378662109375,-0.0192535400390625,2.23175048828125E-06,3.4912109375E-05,3.26803588867188E-05
-0.01434326171875,-0.0142059326171875,2.3651123046875E-06,3.51715087890625E-05,3.2806396484375E-05
-0.009307861328125,-0.00919189453124999,2.49267578125E-06,3.55224609375E-05,3.302978515625E-05
-0.0042724609375,-0.00413818359375,2.6336669921875E-06,3.59405517578125E-05,3.3306884765625E-05
0.000762939453125,0.000924682617187506,2.7923583984375E-06,3.64288330078125E-05,3.3636474609375E-05
0.00579833984375,0.00596008300781251,2.96905517578125E-06,3.6944580078125E-05,3.39755249023438E-05
0.010833740234375,0.010980224609375,3.16650390625E-06,3.74847412109375E-05,3.43182373046875E-05
0.015869140625,0.0160400390625,3.39080810546875E-06,3.797607421875E-05,3.45852661132812E-05
0.020904541015625,0.0210784912109375,3.636474609375E-06,3.8409423828125E-05,3.477294921875E-05
0.02593994140625,0.026116943359375,3.902587890625E-06,3.86962890625E-05,3.4793701171875E-05
0.030975341796875,0.0311248779296875,4.178466796875E-06,3.8861083984375E-05,3.46826171875E-05
0.0360107421875,0.0361572265625,4.44549560546875E-06,3.88153076171875E-05,3.43698120117188E-05
0.041046142578125,0.0411956787109375,4.696044921875E-06,3.8623046875E-05,3.3927001953125E-05
0.04608154296875,0.0462493896484375,4.913330078125E-06,3.82904052734375E-05,3.33770751953125E-05
0.051116943359375,0.051177978515625,5.096435546875E-06,3.7896728515625E-05,3.280029296875E-05
0.05615234375,0.05621337890625,5.242919921875E-06,3.7469482421875E-05,3.22265625E-05
0.061187744140625,0.061248779296875,5.3497314453125E-06,3.70697021484375E-05,3.1719970703125E-05
0.06622314453125,0.066253662109375,5.4229736328125E-06,3.6700439453125E-05,3.12774658203125E-05
0.071258544921875,0.071258544921875,5.46875E-06,3.642578125E-05,3.095703125E-05
0.0762939453125,0.0762939453125,5.4901123046875E-06,3.623046875E-05,3.07403564453125E-05
0.081329345703125,0.081329345703125,5.511474609375E-06,3.61602783203125E-05,3.06488037109375E-05
0.08636474609375,0.08636474609375,5.52978515625E-06,3.62030029296875E-05,3.06732177734375E-05
0.091400146484375,0.09136962890625,5.5419921875E-06,3.6395263671875E-05,3.0853271484375E-05
0.096435546875,0.09637451171875,5.572509765625E-06,3.6712646484375E-05,3.114013671875E-05
0.101470947265625,0.101409912109375,5.6182861328125E-06,3.71917724609375E-05,3.1573486328125E-05
0.10650634765625,0.106414794921875,5.6915283203125E-06,3.7786865234375E-05,3.20953369140625E-05
0.111541748046875,0.11151123046875,5.7952880859375E-06,3.85162353515625E-05,3.2720947265625E-05
0.1165771484375,0.1165771484375,5.9326171875E-06,3.9300537109375E-05,3.3367919921875E-05
0.121612548828125,0.12152099609375,6.109619140625E-06,4.013671875E-05,3.4027099609375E-05
0.12664794921875,0.126617431640625,6.329345703125E-06,4.09210205078125E-05,3.45916748046875E-05
0.131683349609375,0.131591796875,6.5765380859375E-06,4.15924072265625E-05,3.5015869140625E-05
0.13671875,0.136627197265625,6.8511962890625E-06,4.21051025390625E-05,3.525390625E-05
0.141754150390625,0.141693115234375,7.1197509765625E-06,4.237060546875E-05,3.52508544921875E-05
0.14678955078125,0.146728515625,7.3699951171875E-06,4.241943359375E-05,3.50494384765625E-05
0.151824951171875,0.15167236328125,7.586669921875E-06,4.22210693359375E-05,3.46343994140625E-05
0.1568603515625,0.15679931640625,7.75146484375E-06,4.18548583984375E-05,3.41033935546875E-05
0.161895751953125,0.16180419921875,7.87353515625E-06,4.132080078125E-05,3.3447265625E-05
0.16693115234375,0.1668701171875,7.9345703125E-06,4.0716552734375E-05,3.2781982421875E-05
0.171966552734375,0.17181396484375,7.9559326171875E-06,4.00604248046875E-05,3.21044921875E-05
0.177001953125,0.176849365234375,7.928466796875E-06,3.9434814453125E-05,3.150634765625E-05
0.182037353515625,0.181884765625,7.879638671875E-06,3.880615234375E-05,3.0926513671875E-05
0.18707275390625,0.186920166015625,7.8125E-06,3.82598876953125E-05,3.04473876953125E-05
0.192108154296875,0.19195556640625,7.7301025390625E-06,3.7762451171875E-05,3.00323486328125E-05
0.1971435546875,0.196990966796875,7.6416015625E-06,3.73382568359375E-05,2.96966552734375E-05
0.202178955078125,0.201995849609375,7.5531005859375E-06,3.6962890625E-05,2.94097900390625E-05
0.20721435546875,0.207061767578125,7.4676513671875E-06,3.6676025390625E-05,2.92083740234375E-05
