Potential applied (V),WE(1).Base.Potential (V),WE(1).Base.Current (A),WE(1).Pulse.Current (A),WE(1).δ.Current (A)
-0.099945068359375,-0.099761962890625,-5.2520751953125E-06,3.41888427734375E-05,3.944091796875E-05
-0.09490966796875,-0.094696044921875,-3.7298583984375E-06,3.52874755859375E-05,3.9017333984375E-05
-0.089874267578125,-0.089691162109375,-2.6287841796875E-06,3.5943603515625E-05,3.85723876953125E-05
-0.0848388671875,-0.08465576171875,-1.787109375E-06,3.6346435546875E-05,3.8133544921875E-05
-0.079803466796875,-0.079620361328125,-1.123046875E-06,3.6590576171875E-05,3.7713623046875E-05
-0.07476806640625,-0.074554443359375,-5.7586669921875E-07,3.6724853515625E-05,3.73007202148437E-05
-0.069732666015625,-0.06951904296875,-1.2359619140625E-07,3.675537109375E-05,3.68789672851563E-05
-0.064697265625,-0.06451416015625,2.61535644531249E-07,3.6798095703125E-05,3.65365600585938E-05
-0.059661865234375,-0.05950927734375,5.9417724609375E-07,3.6822509765625E-05,3.62283325195313E-05
-0.05462646484375,-0.054443359375,8.7493896484375E-07,3.6871337890625E-05,3.59963989257813E-05
-0.049591064453125,-0.0494659423828125,1.134033203125E-06,3.69354248046875E-05,3.58013916015625E-05
-0.0445556640625,-0.04444580078125,1.35772705078125E-06,3.70574951171875E-05,3.56997680664063E-05
-0.039520263671875,-0.039398193359375,1.563720703125E-06,3.72314453125E-05,3.5667724609375E-05
-0.03448486328125,-0.0343231201171875,1.75079345703125E-06,3.7481689453125E-05,3.57308959960938E-05
-0.029449462890625,-0.02930908203125,1.937255859375E-06,3.78143310546875E-05,3.58770751953125E-05
-0.0244140625,-0.0242828369140625,2.11761474609375E-06,3.82537841796875E-05,3.61361694335938E-05
-0.019378662109375,-0.0192718505859375,2.2943115234375E-06,3.8818359375E-05,3.65240478515625E-05
-0.01434326171875,-0.0142120361328125,2.48443603515625E-06,3.9471435546875E-05,3.69869995117188E-05
-0.009307861328125,-0.00919189453124999,2.69561767578125E-06,4.0240478515625E-05,3.75448608398437E-05
-0.0042724609375,-0.00412597656249999,2.9339599609375E-06,4.11041259765625E-05,3.8170166015625E-05
0.000762939453125,0.000881958007812503,3.21197509765625E-06,4.20562744140625E-05,3.88442993164063E-05
0.00579833984375,0.0059478759765625,3.5357666015625E-06,4.3035888671875E-05,3.95001220703125E-05
0.010833740234375,0.0109771728515625,3.90777587890625E-06,4.400634765625E-05,4.00985717773438E-05
0.015869140625,0.0160247802734375,4.3402099609375E-06,4.4921875E-05,4.05816650390625E-05
0.020904541015625,0.0210601806640625,4.803466796875E-06,4.571533203125E-05,4.0911865234375E-05
0.02593994140625,0.0261016845703125,5.322265625E-06,4.632568359375E-05,4.100341796875E-05
0.030975341796875,0.0311370849609375,5.853271484375E-06,4.669189453125E-05,4.0838623046875E-05
0.0360107421875,0.0361785888671875,6.3812255859375E-06,4.67529296875E-05,4.03717041015625E-05
0.041046142578125,0.0411956787109375,6.878662109375E-06,4.6600341796875E-05,3.97216796875E-05
0.04608154296875,0.0462249755859375,7.33642578125E-06,4.620361328125E-05,3.88671875E-05
0.051116943359375,0.0511474609375,7.7239990234375E-06,4.5684814453125E-05,3.79608154296875E-05
0.05615234375,0.056182861328125,8.04443359375E-06,4.5074462890625E-05,3.7030029296875E-05
0.061187744140625,0.061248779296875,8.28857421875E-06,4.449462890625E-05,3.62060546875E-05
0.06622314453125,0.06622314453125,8.4747314453125E-06,4.39788818359375E-05,3.5504150390625E-05
0.071258544921875,0.071258544921875,8.6029052734375E-06,4.35699462890625E-05,3.4967041015625E-05
0.0762939453125,0.076263427734375,8.69140625E-06,4.329833984375E-05,3.460693359375E-05
0.081329345703125,0.081329345703125,8.7493896484375E-06,4.322509765625E-05,3.44757080078125E-05
0.08636474609375,0.08636474609375,8.7921142578125E-06,4.3353271484375E-05,3.45611572265625E-05
0.091400146484375,0.091400146484375,8.8287353515625E-06,4.37286376953125E-05,3.489990234375E-05
0.096435546875,0.096435546875,8.880615234375E-06,4.43328857421875E-05,3.54522705078125E-05
0.101470947265625,0.10150146484375,8.9599609375E-06,4.5166015625E-05,3.62060546875E-05
0.10650634765625,0.106414794921875,9.08203125E-06,4.62646484375E-05,3.71826171875E-05
0.111541748046875,0.1114501953125,9.2620849609375E-06,4.754638671875E-05,3.82843017578125E-05
0.1165771484375,0.1165771484375,9.5123291015625E-06,4.8980712890625E-05,3.94683837890625E-05
0.121612548828125,0.12152099609375,9.8358154296875E-06,5.04150390625E-05,4.05792236328125E-05
0.12664794921875,0.126556396484375,1.024169921875E-05,5.181884765625E-05,4.15771484375E-05
0.131683349609375,0.131591796875,1.07025146484375E-05,5.3070068359375E-05,4.23675537109375E-05
0.13671875,0.136566162109375,1.1212158203125E-05,5.40771484375E-05,4.2864990234375E-05
0.141754150390625,0.1416015625,1.17218017578125E-05,5.46875E-05,4.29656982421875E-05
0.14678955078125,0.14666748046875,1.2213134765625E-05,5.4962158203125E-05,4.27490234375E-05
0.151824951171875,0.15167236328125,1.26495361328125E-05,5.4840087890625E-05,4.21905517578125E-05
0.1568603515625,0.15673828125,1.302490234375E-05,5.4412841796875E-05,4.1387939453125E-05
0.161895751953125,0.1617431640625,1.3311767578125E-05,5.37109375E-05,4.0399169921875E-05
0.16693115234375,0.166748046875,1.351318359375E-05,5.2825927734375E-05,3.9312744140625E-05
0.171966552734375,0.171783447265625,1.363525390625E-05,5.1788330078125E-05,3.8153076171875E-05
0.177001953125,0.176849365234375,1.36810302734375E-05,5.0750732421875E-05,3.70697021484375E-05
0.182037353515625,0.181854248046875,1.36688232421875E-05,4.9652099609375E-05,3.59832763671875E-05
0.18707275390625,0.186859130859375,1.35955810546875E-05,4.864501953125E-05,3.50494384765625E-05
0.192108154296875,0.191986083984375,1.348876953125E-05,4.766845703125E-05,3.41796875E-05
0.1971435546875,0.196990966796875,1.334228515625E-05,4.6783447265625E-05,3.3441162109375E-05
0.202178955078125,0.2020263671875,1.31866455078125E-05,4.595947265625E-05,3.27728271484375E-05
0.20721435546875,0.207000732421875,1.30096435546875E-05,4.5257568359375E-05,3.22479248046875E-05
0.212249755859375,0.212066650390625,1.28265380859375E-05,4.46441650390625E-05,3.1817626953125E-05
0.21728515625,0.217071533203125,1.26434326171875E-05,4.4110107421875E-05,3.14666748046875E-05
0.222320556640625,0.222137451171875,1.2469482421875E-05,4.3621826171875E-05,3.115234375E-05
0.22735595703125,0.227142333984375,1.23016357421875E-05,4.3206787109375E-05,3.09051513671875E-05
0.232391357421875,0.232208251953125,1.21429443359375E-05,4.2828369140625E-05,3.06854248046875E-05
0.2374267578125,0.237213134765625,1.20025634765625E-05,4.25048828125E-05,3.05023193359375E-05
0.242462158203125,0.24224853515625,1.18682861328125E-05,4.219970703125E-05,3.03314208984375E-05
0.24749755859375,0.247283935546875,1.17401123046875E-05,4.1937255859375E-05,3.01971435546875E-05
0.252532958984375,0.2523193359375,1.16241455078125E-05,4.16900634765625E-05,3.006591796875E-05
0.257568359375,0.25732421875,1.151123046875E-05,4.149169921875E-05,2.998046875E-05
0.262603759765625,0.262359619140625,1.14105224609375E-05,4.12994384765625E-05,2.9888916015625E-05
0.26763916015625,0.267425537109375,1.1309814453125E-05,4.11346435546875E-05,2.98248291015625E-05
0.272674560546875,0.272430419921875,1.1224365234375E-05,4.09912109375E-05,2.9766845703125E-05
0.2777099609375,0.2774658203125,1.1138916015625E-05,4.0869140625E-05,2.9730224609375E-05
0.282745361328125,0.282470703125,1.10626220703125E-05,4.07623291015625E-05,2.969970703125E-05
0.28778076171875,0.287506103515625,1.0992431640625E-05,4.071044921875E-05,2.9718017578125E-05
0.292816162109375,0.292510986328125,1.0931396484375E-05,4.066162109375E-05,2.9730224609375E-05
0.2978515625,0.297576904296875,1.08642578125E-05,4.06097412109375E-05,2.97454833984375E-05
0.302886962890625,0.302581787109375,1.08154296875E-05,4.0594482421875E-05,2.9779052734375E-05
0.30792236328125,0.3076171875,1.07696533203125E-05,4.05731201171875E-05,2.9803466796875E-05
0.312957763671875,0.31268310546875,1.0736083984375E-05,4.05670166015625E-05,2.98309326171875E-05
0.3179931640625,0.317718505859375,1.0693359375E-05,4.05731201171875E-05,2.98797607421875E-05
0.323028564453125,0.32275390625,1.06689453125E-05,4.06158447265625E-05,2.99468994140625E-05
0.32806396484375,0.3277587890625,1.06414794921875E-05,4.0655517578125E-05,3.00140380859375E-05
0.333099365234375,0.332794189453125,1.06170654296875E-05,4.073486328125E-05,3.01177978515625E-05
0.338134765625,0.337860107421875,1.06048583984375E-05,4.08111572265625E-05,3.0206298828125E-05
0.343170166015625,0.3427734375,1.0595703125E-05,4.09210205078125E-05,3.03253173828125E-05
0.34820556640625,0.347869873046875,1.0589599609375E-05,4.102783203125E-05,3.0438232421875E-05
0.353240966796875,0.3529052734375,1.0595703125E-05,4.117431640625E-05,3.057861328125E-05
0.3582763671875,0.35797119140625,1.060791015625E-05,4.13055419921875E-05,3.06976318359375E-05
0.363311767578125,0.36297607421875,1.06201171875E-05,4.14794921875E-05,3.0859375E-05
0.36834716796875,0.36798095703125,1.0638427734375E-05,4.16595458984375E-05,3.10211181640625E-05
